ax,ay,az,gx,gy,gz
-7.498,-3.089,-1.88,1.479,0.225,0.255
-7.745,-3.329,-2.003,1.173,0.171,0.163
-8.536,-3.603,-2.006,0.86,0.062,0.136
-9.841,-3.217,-1.901,0.545,0.053,0.004
-10.129,-2.978,-1.881,0.231,0.337,-0.163
-9.698,-2.648,-1.706,0.016,0.38,-0.265
-9.716,-2.229,-1.45,-0.136,0.349,-0.293
-9.585,-1.39,-1.287,-0.221,0.49,-0.41
-8.063,-1.228,-1.145,-0.25,0.718,-0.43
-7.155,-0.815,-0.969,-0.161,0.446,-0.357
-7.149,-0.593,-1.006,-0.023,0.328,-0.202
-6.716,-0.726,-1.306,0.149,0.226,-0.02
-6.22,-1.258,-1.692,0.292,0.068,0.196
-6.677,-1.784,-2.121,0.427,-0.186,0.404
-7.641,-2.198,-2.321,0.533,-0.158,0.563
