ax,ay,az,gx,gy,gz
1.562,-10.043,-2.846,-0.188,-0.006,0.025
1.884,-9.449,-2.731,-0.212,0.055,0.149
2.038,-8.734,-2.681,-0.256,0.14,0.187
1.943,-8.285,-2.729,-0.326,0.229,0.144
1.702,-8.067,-2.884,-0.399,0.347,0.033
1.399,-8.163,-3.096,-0.467,0.395,-0.101
1.106,-8.592,-3.459,-0.503,0.414,-0.226
1.034,-9.354,-3.942,-0.491,0.351,-0.295
1.324,-9.859,-4.386,-0.435,0.171,-0.267
1.614,-10.067,-4.64,-0.353,-0.046,-0.151
1.999,-9.91,-4.734,-0.241,-0.097,0.013
2.412,-9.42,-4.523,-0.142,-0.122,0.175
2.618,-8.571,-4.084,-0.09,-0.098,0.27
2.404,-7.904,-3.613,-0.09,0.02,0.249
2.063,-7.628,-3.303,-0.131,0.17,0.114
